Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Number of Iterations,Battery Consumption,Number of Ground Contacts,Number of Engine Failures,Number of Mission Failures
0.065,0.044,0.005,0.275,+,0.0,0.0,9.80665,0.305,0.419,0.296,7.1,13.6,14.4,7.5,6.8,1.5,872,0.18580390000000013,1,0,0
0.098,0.038,0.008,0.058,+,0.0,0.0,9.80665,0.21523,0.0,0.42741,0.5,11.2,9.2,1.9,0.3,9.7,909,0.18897054000000013,1,0,0
0.052,0.003,0.005,0.454,x,0.0,0.0,9.80665,0.083,0.422,0.303,8.0,3.7,7.0,4.2,2.4,8.7,880,0.18279204000000016,1,0,0
0.056,0.029,0.006,0.784,x,0.0,0.0,9.80665,0.414,0.308,0.43,19.5,0.1,3.6,0.3,1.3,8.4,863,0.3719598000000002,51,0,0
0.019,0.033,0.001,0.375,x,0.0,0.0,9.80665,0.423,0.096,0.636,10.0,17.7,14.3,4.1,8.6,2.0,895,0.3818914000000001,54,0,0
0.092,0.026,0.006,0.147,+,0.0,0.0,9.80665,0.337,0.611,0.567,3.5,6.6,16.3,2.9,6.0,9.0,387,0.07617610000000008,2,0,0
0.056,0.069,0.004,0.6,x,0.0,0.0,9.80665,0.031,0.298,0.623,17.5,5.8,18.7,1.7,5.1,4.0,647,0.3548647500000002,57,0,0
0.014,0.018,0.007,0.041,+,0.0,0.0,9.80665,0.024,0.148,0.06,12.6,17.7,16.3,0.0,8.3,2.5,473,0.10647250000000008,1,0,0
0.011,0.025,0.007,0.852,+,0.0,0.0,9.80665,0.576,0.007,0.152,19.0,17.3,18.4,3.6,3.0,2.9,62,0.25070970000000015,62,0,0
0.072,0.08,0.005,0.092,x,0.0,0.0,9.80665,0.191,0.1,0.366,16.8,19.1,13.5,6.0,5.2,8.4,885,0.35755060000000005,43,0,0
