Sensor Noise Accelerometer,Sensor Noise Gyroscope,Sensor Noise Magnetometer,Sensor Noise Pressure,Rotor Orientation,Gravity_x,Gravity_y,Gravity_z,Magnetic Field_x,Magnetic Field_y,Magnetic Field_z,Wind_x,Wind_y,Wind_z,Wind Deviation_x,Wind Deviation_y,Wind Deviation_z,Error Type
0.924,0.476,0.028,0.892,x,0.0,0.0,9.80665,0.582,0.445,0.366,4.1,1.9,4.3,4.8,5.9,9.5,Arming
0.77,0.33,0.084,0.315,+,0.0,0.0,9.80665,0.592,0.424,0.452,1.7,13.3,10.5,9.0,6.1,7.5,Gyro fail
0.7,0.389,0.032,0.275,x,0.0,0.0,9.80665,0.232,0.393,0.364,1.4,10.1,3.9,8.4,5.3,6.7,Arming
0.948,0.853,0.093,0.814,+,0.0,0.0,9.80665,0.317,0.561,0.385,2.1,10.6,8.8,2.3,2.4,6.3,Gyro fail
0.85,0.081,0.091,0.211,+,0.0,0.0,9.80665,0.634,0.044,0.523,6.1,1.3,15.6,2.1,4.7,9.1,Arming
0.807,0.287,0.065,0.76,x,0.0,0.0,9.80665,0.063,0.638,0.318,11.6,14.5,2.1,2.9,0.0,7.7,Arming hangs
0.578,0.712,0.074,0.904,+,0.0,0.0,9.80665,0.586,0.29,0.368,12.3,8.8,17.4,7.7,3.4,5.8,Arming hangs
0.437,0.864,0.087,0.303,x,0.0,0.0,9.80665,0.476,0.392,0.346,4.0,9.5,7.5,1.1,6.7,9.3,Arming
0.142,0.19,0.091,0.898,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,0.8,10.3,12.3,2.9,8.0,8.7,Arming hangs
0.445,0.13,0.046,0.972,+,0.0,0.0,9.80665,0.338,0.558,0.126,5.6,11.9,15.0,2.7,1.6,3.4,Arming
0.722,0.286,0.036,0.557,x,0.0,0.0,9.80665,0.21523,0.0,0.42741,16.7,2.4,1.8,3.6,4.9,7.3,Arming
0.772,0.538,0.01,0.198,x,0.0,0.0,9.80665,0.514,0.103,0.553,5.8,12.0,10.2,1.1,7.4,7.0,Gyro fail
0.048,0.271,0.071,0.497,+,0.0,0.0,9.80665,0.072,0.408,0.381,14.4,2.8,14.7,0.0,9.7,1.3,Takeoff
0.938,0.23,0.002,0.899,+,0.0,0.0,9.80665,0.472,0.408,0.544,10.5,16.3,8.0,7.9,9.6,6.8,Arming hangs
0.393,0.467,0.099,0.686,+,0.0,0.0,9.80665,0.226,0.337,0.358,15.9,13.1,7.5,8.2,7.1,0.8,Gyro fail
0.735,0.722,0.032,0.132,x,0.0,0.0,9.80665,0.458,0.3,0.528,6.3,5.8,13.5,2.1,0.0,1.9,Gyro fail
0.15,0.25,0.076,0.837,x,0.0,0.0,9.80665,0.571,0.221,0.082,8.0,11.2,9.1,5.5,1.4,0.8,Gyro fail
0.675,0.305,0.099,0.525,x,0.0,0.0,9.80665,0.115,0.33,0.497,5.7,12.7,12.0,8.5,8.8,9.8,Gyro fail
0.974,0.898,0.077,0.658,x,0.0,0.0,9.80665,0.381,0.648,0.302,3.7,10.3,9.3,0.7,8.9,6.6,Arming
0.081,0.722,0.017,0.856,+,0.0,0.0,9.80665,0.192,0.367,0.27,7.9,7.6,0.1,4.6,7.0,8.3,Gyro fail
0.177,0.241,0.08,0.05,+,0.0,0.0,9.80665,0.273,0.204,0.138,15.7,9.8,7.3,3.2,8.9,2.4,Gyro fail
0.622,0.316,0.097,0.149,+,0.0,0.0,9.80665,0.135,0.241,0.273,10.8,0.7,19.8,8.0,5.0,7.8,Landing
0.934,0.646,0.083,0.573,+,0.0,0.0,9.80665,0.33,0.076,0.071,5.1,13.3,12.4,3.6,2.2,8.4,Arming
